"id","delete_no","ship_num","block_name","start_point","central_point","end_point","wagon_num","receiving_scheduled","delivery_scheduled","work_date","create_at","update_at","ship_num_change_flag","block_name_change_flag","start_point_change_flag","central_point_change_flag","end_point_change_flag","comment1_change_flag","ship_flag","receiving_flag","departure_flag","delete_flag","comment1","comment2"
26,"1","5507","VB3S","L",,"ﾔｰﾄﾞ","5",15:45:00,16:30:00,2023/02/17,2022/09/29 11:49:38.908,2024/03/19 13:09:12.875,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
27,"2","5507","D5S","M",,"ﾔｰﾄﾞ","1",15:45:00,16:30:00,2023/03/17,2022/09/29 11:49:38.881,2022/09/29 11:49:38.881,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
28,"3","5507","GED1","501番地",,"ﾔｰﾄﾞ","2",9:00:00,9:45:00,2023/02/17,2022/09/29 11:49:38.890,2022/09/29 11:49:38.890,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
29,"4","5298","1TF-1","ﾔｰﾄﾞ",,"402番地","5",9:30:00,10:00:00,2023/02/17,2022/09/29 11:49:38.893,2022/09/29 11:49:38.893,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
44,"5","5298","1TE-1","ﾔｰﾄﾞ",,"501番地","4",10:00:00,10:30:00,2023/02/17,2022/09/29 11:49:38.895,2022/09/29 11:49:38.895,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
46,"6","5507","GB51C","S2",,"ﾔｰﾄﾞ","5",15:00:00,15:45:00,2023/02/17,2022/09/29 11:49:38.896,2022/09/29 11:49:38.896,False,False,False,False,False,False,False,True,True,False,"要注意","重たいブロック"
47,"7","5507","GSU51AS","S4",,"ﾔｰﾄﾞ","4",14:00:00,14:45:00,2023/02/17,2022/09/29 11:49:38.898,2022/09/29 11:49:38.898,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
48,"8","5507","4D6-SP/S","S4",,"ﾔｰﾄﾞ","2",15:00:00,16:00:00,2023/02/17,2022/09/29 11:49:38.899,2022/09/29 11:49:38.899,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
49,"9","5298","6-3ALHP","S4",,"ﾔｰﾄﾞ","4",16:00:00,16:45:00,2023/02/17,2022/09/29 11:49:38.901,2022/09/29 11:49:38.901,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
50,"10","5298","6-1ALBS","ﾔｰﾄﾞ",,"S4","4",8:00:00,8:45:00,2023/02/17,2022/09/29 11:49:38.911,2022/09/29 11:49:38.911,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
51,"11","5298","DB-1TP","ﾔｰﾄﾞ",,"S4","5",17:00:00,17:30:00,2023/02/17,2022/09/29 11:49:38.913,2022/09/29 11:49:38.913,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
52,"12","5296","8-16 (UST)","ﾔｰﾄﾞ",,"S2","4",17:00:00,17:30:00,2023/02/17,2022/09/29 11:49:38.914,2022/09/29 11:49:38.914,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
53,"13","5298","6-1BIS BH","ﾔｰﾄﾞ",,"S2","5",8:00:00,8:30:00,2023/02/17,2022/09/29 11:49:38.902,2022/09/29 11:49:38.902,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
54,"14","5507","U41-L","E棟",,"","5",10:00:00,11:00:00,2023/02/17,2022/09/29 11:49:38.904,2022/09/29 11:49:38.904,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
55,"15","5296","8-16 UST","E棟",,"","2",8:00:00,8:30:00,2023/02/17,2022/09/29 11:49:38.905,2022/09/29 11:49:38.905,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
56,"16","5507","5D5-SUP","ﾔｰﾄﾞ",,"J棟","1",9:00:00,9:45:00,2023/03/17,2022/09/29 11:49:38.916,2022/09/29 11:49:38.916,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
57,"17","5507","G5D5S","ﾔｰﾄﾞ",,"J棟","2",10:00:00,10:45:00,2023/02/17,2022/09/29 11:49:38.907,2022/09/29 11:49:38.907,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
58,"18","5506","HC1APS","E棟",,"","5",11:00:00,11:30:00,2023/02/17,2022/09/29 11:49:38.917,2022/09/29 11:49:38.917,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
59,"19","5000","<E>","",,"","1",7:00:00,8:30:00,2023/03/17,2022/09/29 11:49:38.919,2022/09/29 11:49:38.919,False,False,False,False,False,False,False,True,True,False,"要注意","重たいブロック"
60,"20","5505","FS51FPS","501前",,"843","1",9:30:00,10:00:00,2023/02/17,2022/09/29 11:49:38.920,2022/09/29 11:49:38.920,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
61,"21","5505","VSL51C","九重",,"927","1",10:00:00,10:30:00,2023/02/17,2022/09/29 11:49:38.922,2022/09/29 11:49:38.922,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
62,"22","5205","1-20TP(CG)","552",,"552","1",11:30:00,12:30:00,2023/02/17,2022/09/29 11:49:38.923,2022/09/29 11:49:38.923,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
63,"23","5205","Ｇ２－６Ｓ","Ｋ",,"314前","1",14:30:00,15:30:00,2023/02/17,2022/09/29 11:49:38.925,2022/09/29 11:49:38.925,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
64,"1","5507","VB3S","L",,"ﾔｰﾄﾞ","5",15:45:00,16:30:00,2023/02/17,2022/09/29 11:49:38.926,2022/09/29 11:49:38.926,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
65,"2","5507","D5S","M",,"ﾔｰﾄﾞ","1",15:45:00,16:30:00,2023/02/17,2022/09/29 11:49:38.928,2022/09/29 11:49:38.928,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
66,"3","5507","GED1","501番地",,"ﾔｰﾄﾞ","2",9:00:00,9:45:00,2023/02/17,2022/09/29 11:49:38.929,2022/09/29 11:49:38.929,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
67,"4","5298","1TF-1","ﾔｰﾄﾞ",,"402番地","5",9:30:00,10:00:00,2023/02/17,2022/09/29 11:49:38.931,2022/09/29 11:49:38.931,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
68,"5","5298","1TE-1","ﾔｰﾄﾞ",,"501番地","4",10:00:00,10:30:00,2023/02/17,2022/09/29 11:49:38.932,2022/09/29 11:49:38.932,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
69,"6","5507","GB51C","S2",,"ﾔｰﾄﾞ","5",15:00:00,15:45:00,2023/02/17,2022/09/29 11:49:38.934,2022/09/29 11:49:38.934,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
70,"7","5507","GSU51AS","S4",,"ﾔｰﾄﾞ","4",14:00:00,14:45:00,2023/02/17,2022/09/29 11:49:38.935,2022/09/29 11:49:38.935,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
71,"8","5507","4D6-SP/S","S4",,"ﾔｰﾄﾞ","2",15:00:00,16:00:00,2023/02/17,2022/09/29 11:49:38.936,2022/09/29 11:49:38.936,False,False,False,False,False,False,False,True,True,True,"要注意","重たいブロック"
72,"9","5298","6-3ALHP","S4",,"ﾔｰﾄﾞ","4",16:00:00,16:45:00,2023/02/17,2022/09/29 11:49:38.937,2022/09/29 11:49:38.937,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
73,"10","5298","6-1ALBS","ﾔｰﾄﾞ",,"S4","4",8:00:00,8:45:00,2023/02/17,2022/09/29 11:49:38.938,2022/09/29 11:49:38.938,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
74,"11","5298","DB-1TP","ﾔｰﾄﾞ",,"S4","5",17:00:00,17:30:00,2023/02/17,2022/09/29 11:49:38.939,2022/09/29 11:49:38.939,False,False,False,False,False,False,True,True,True,True,"要注意","重たいブロック"
75,"12","5296","8-16 (UST)","ﾔｰﾄﾞ",,"S2","4",17:00:00,17:30:00,2023/02/17,2022/09/29 11:49:38.940,2022/09/29 11:49:38.940,False,False,False,False,False,False,False,False,False,True,"要注意","重たいブロック"
76,"13","5298","6-1BIS BH","ﾔｰﾄﾞ",,"S2","5",8:00:00,8:30:00,2023/02/17,2022/09/29 11:49:38.941,2022/09/29 11:49:38.941,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
77,"14","5507","U41-L","E棟",,"","5",10:00:00,11:00:00,2023/02/17,2022/09/29 11:49:38.942,2022/09/29 11:49:38.942,False,False,False,False,False,False,False,False,False,False,"要注意","重たいブロック"
